site,title,url,pv,store
天猫,"

			首页-周生生官方旗舰店-天猫Tmall.com

	",http://chowsangsang.tmall.com/,3102,周生生官方旗舰店
天猫,"

			首页-来圣运动专营店-天猫Tmall.com

	",http://laishengyd.tmall.com/,2863,来圣运动专营店
天猫,"

			首页-Gap官方旗舰店-天猫Tmall.com

	",http://gap.tmall.com/,2854,Gap官方旗舰店
天猫,"

			首页-果珈数码专营店-天猫Tmall.com

	",http://gjsm.tmall.com/,2839,果珈数码专营店
天猫,å¤©ç«å®¢æ·ç«¯å®æ¹é¦é¡µ,http://mobile.tmall.com/,2801,
天猫, ,http://register.tmall.com/,2754,
天猫,"

			首页-老板逊驰专卖店-天猫Tmall.com

	",http://robamxc.tmall.com/,2736,老板逊驰专卖店
天猫,"

			首页-wrc旗舰店-天猫Tmall.com

	",http://wrccp.tmall.com/,2715,wrc旗舰店
天猫,"

			首页-qfour旗舰店-天猫Tmall.com

	",http://qfour.tmall.com/,2654,qfour旗舰店
天猫,"

			jackjones新首页-JackJones官方旗舰店-天猫Tmall.com

	",http://jackjones.tmall.com/,2594,JackJones官方旗舰店
天猫,"

			水星品牌店-水星家纺品牌专卖店-天猫Tmall.com

	",http://mercuryjiafang.tmall.com/,2576,水星家纺品牌专卖店
天猫,"

			首页-周大福官方旗舰店-天猫Tmall.com

	",http://ctf.tmall.com/,2576,周大福官方旗舰店
天猫,"

			首页-达芙妮官方旗舰店-天猫Tmall.com

	",http://daphne.tmall.com/,2499,达芙妮官方旗舰店
天猫,"

			首页-全城热恋珠宝旗舰店-天猫Tmall.com

	",http://quanchengrelianzb.tmall.com/,2470,全城热恋珠宝旗舰店
天猫,天猫女鞋频道-尚天猫，就购了    ,http://nvxie.tmall.com/,2436,
天猫,"

			狂欢再继续-童歌母婴专营店-天猫Tmall.com

	",http://tgmy.tmall.com/,2392,童歌母婴专营店
天猫,"

			首页-创崛车品专营店-天猫Tmall.com

	",http://cjcp.tmall.com/,2310,创崛车品专营店
天猫,"

			首页-周黑鸭上海专卖店-天猫Tmall.com

	",http://zhouheiyash.tmall.com/,2270,周黑鸭上海专卖店
天猫,天猫 - 上天猫，就够了,http://fbuy.tmall.com/,2269,
天猫,阿里通信,http://aliqin.tmall.com/,2237,
天猫,"

			首页-安买旗舰店-天猫Tmall.com

	",http://amai18.tmall.com/,2205,安买旗舰店
天猫,"

			首页-上海故事服饰配件旗舰店-天猫Tmall.com

	",http://shanghaigushi.tmall.com/,2159,上海故事服饰配件旗舰店
天猫,"

			首页-趣道旗舰店-天猫Tmall.com

	",http://qudao.tmall.com/,2108,趣道旗舰店
天猫,天猫男装频道-尚天猫，就购了    ,http://nanzhuang.tmall.com/,2105,
天猫,,http://webww.tmall.com/,2074,
天猫,登录 - 天猫tmall.com ―上天猫，就购了,http://mybrand.tmall.com/,2055,
天猫,"

			购酒网3周年-购酒网官方旗舰店-天猫Tmall.com

	",http://gjwjl.tmall.com/,2047,购酒网官方旗舰店
天猫,天猫食品-尚天猫，就购了    ,http://food.tmall.com/,2033,
天猫,"

			裂帛服饰旗舰-关于美-裂帛服饰旗舰店-天猫Tmall.com

	",http://ripfs.tmall.com/,2009,关于美-裂帛服饰旗舰店
天猫,"

			首页-GXG官方旗舰店-天猫Tmall.com

	",http://gxg.tmall.com/,2001,GXG官方旗舰店
天猫,天猫母婴-尚天猫，就购了-尚天猫，就购了    ,http://baby.tmall.com/,2000,
天猫,"

			首页-好味氏旗舰店-天猫Tmall.com

	",http://halls.tmall.com/,1992,好味氏旗舰店
天猫,"

			店铺浏览-淘宝网

		",http://hf.tmall.com/,1990,
天猫,"

			首页-热风旗舰店-天猫Tmall.com

	",http://hotwind.tmall.com/,1977,热风旗舰店
天猫, 天猫运营服务,http://fw.tmall.com/,1938,
天猫,"

			首页-ochirly官方旗舰店-天猫Tmall.com

	",http://ochirly.tmall.com/,1926,ochirly官方旗舰店
天猫,"

			首页-意萨立德家居旗舰店-天猫Tmall.com

	",http://yisalide.tmall.com/,1910,意萨立德家居旗舰店
天猫,"

			首页-粉红大布娃娃旗舰店-天猫Tmall.com

	",http://dabuwawa.tmall.com/,1865,粉红大布娃娃旗舰店
天猫,"

			首页-三只松鼠旗舰店-天猫Tmall.com

	",http://sanzhisongshu.tmall.com/,1864,三只松鼠旗舰店
天猫,"

			首页-腾颐家居专营店-天猫Tmall.com

	",http://tengyijj.tmall.com/,1845,腾颐家居专营店
天猫,"

			首页-茵曼旗舰店-天猫Tmall.com

	",http://inman.tmall.com/,1842,茵曼旗舰店
天猫,"

			首页-妖精的口袋旗舰店-天猫Tmall.com

	",http://yaojingdekoudai.tmall.com/,1770,妖精的口袋旗舰店
天猫,,http://bar.tmall.com/,1703,
天猫,"

			首页-初语旗舰店-天猫Tmall.com

	",http://chuyu.tmall.com/,1699,初语旗舰店
